pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,10,13935.931318254294,39.35931318254294
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,11,14244.904732108776,42.44904732108776
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,12,13643.025176163537,36.430251761635375
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,13,13766.251034843286,37.66251034843286
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,14,13231.378387630324,32.31378387630324
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,15,13092.349246451806,30.92349246451806
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,16,13183.184524237264,31.831845242372637
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,17,12760.293227163174,27.60293227163174
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,18,12953.114454429702,29.53114454429702
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,19,13151.52165974245,31.515216597424494
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,20,13371.317812753263,33.71317812753263
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,21,13454.315095686145,34.543150956861446
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,22,13670.300190370333,36.70300190370334
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,23,13504.566825047608,35.04566825047608
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,24,13897.975055658246,38.97975055658246
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,25,13997.205373486659,39.972053734866584
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,26,14143.884784314088,41.438847843140884
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,27,13993.215937887708,39.932159378877074
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,28,13760.474744155768,37.604747441557684
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,29,13465.691401850509,34.656914018505084
ETHUSDT,12h,2017-01-01,2020-12-31,SMA,30,13136.273496486458,31.362734964864575
