pair,timeframe,start,end,strategy,period,portofolio final value,%
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,10,10778.2531539126,7.782531539125993
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,11,10860.424294283757,8.604242942837573
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,12,11354.266224718445,13.542662247184452
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,13,11743.281568965143,17.432815689651434
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,14,11641.770179352545,16.41770179352545
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,15,11430.793355428696,14.307933554286956
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,16,11219.57751726424,12.195775172642406
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,17,10986.966586658084,9.869665866580837
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,18,10866.270569250839,8.66270569250839
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,19,11062.369122485483,10.623691224854829
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,20,11280.335353211383,12.803353532113833
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,21,11273.40590743564,12.734059074356392
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,22,11165.808200133573,11.658082001335734
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,23,11435.700737207746,14.35700737207746
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,24,11626.464082107015,16.264640821070152
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,25,11778.246833799149,17.782468337991485
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,26,11788.637715629477,17.886377156294767
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,27,11986.886480470079,19.868864804700788
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,28,11953.304127368576,19.533041273685757
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,29,12307.347555847222,23.07347555847222
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,30,12358.895076717465,23.588950767174648
