pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,10,5210.322081654735,-47.89677918345265
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,11,5213.412448763464,-47.865875512365356
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,12,5531.904901186241,-44.68095098813759
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,13,5660.833951576927,-43.391660484230734
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,14,5654.941527562272,-43.45058472437728
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,15,6012.545368941271,-39.87454631058729
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,16,6075.09584545597,-39.24904154544029
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,17,6187.073040137917,-38.12926959862083
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,18,6598.289592997313,-34.017104070026875
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,19,6700.234899726433,-32.99765100273567
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,20,6856.441714440219,-31.435582855597815
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,21,6781.028981927732,-32.18971018072268
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,22,6654.755833558474,-33.45244166441527
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,23,6669.480974280598,-33.30519025719402
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,24,6592.19881220231,-34.07801187797689
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,25,6603.325806229825,-33.966741937701755
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,26,6731.2115212618255,-32.68788478738174
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,27,7047.708428723273,-29.522915712767272
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,28,7141.276995228049,-28.587230047719515
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,29,7105.9773693147135,-28.94022630685286
ETHUSDT,15m,2017-01-01,2020-12-31,SMA,30,7007.204225581498,-29.927957744185026
