pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,10,15467.597926049115,54.67597926049115
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,11,14718.62567049702,47.186256704970205
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,12,14339.42967179834,43.3942967179834
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,13,14363.993271658217,43.639932716582166
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,14,14864.84473923878,48.64844739238781
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,15,14311.137775774025,43.11137775774025
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,16,13974.78759507951,39.7478759507951
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,17,13633.091109623032,36.330911096230324
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,18,13725.699262070853,37.25699262070854
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,19,13835.856950628187,38.358569506281874
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,20,13974.066599094924,39.74066599094924
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,21,13900.843121375761,39.00843121375761
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,22,12886.763453362955,28.867634533629555
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,23,12379.395053347673,23.793950533476725
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,24,12394.930087665905,23.949300876659056
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,25,12314.156699762589,23.141566997625887
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,26,12141.079945170295,21.41079945170295
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,27,12442.536054161676,24.425360541616755
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,28,12667.729766148594,26.677297661485937
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,29,12545.38688601851,25.453868860185104
ETHUSDT,3d,2017-01-01,2020-12-31,SMA,30,12417.320912503415,24.173209125034152
